speaker_id,utterance_id,baseline_cosine,adapted_cosine,mean_shift_cosine,coral_cosine
p257,p257_001,0.021977443248033524,0.32085421681404114,0.215985506772995,0.07825498311897085
p257,p257_002,0.029143601655960083,0.4697715938091278,0.39995628595352173,0.37667016104450013
p257,p257_003,-0.012326095253229141,0.4794501066207886,0.2829129695892334,0.11383438883601853
p257,p257_004,-0.11548051983118057,0.39811205863952637,0.15565814077854156,0.13743332406959197
p257,p257_005,-0.024441728368401527,0.4366692304611206,0.2263268530368805,-0.03550380723649663
p257,p257_006,0.07154815644025803,0.442740797996521,0.3702574372291565,0.347778840879104
p257,p257_007,0.03377404808998108,0.49167680740356445,0.36191102862358093,0.37174658939738336
p257,p257_008,0.03502156585454941,0.5062087774276733,0.3402237892150879,0.3276857203695663
p257,p257_009,0.047626793384552,0.46584951877593994,0.3543633222579956,0.3174927943121099
p257,p257_010,-0.03432866185903549,0.3709440529346466,0.22658812999725342,0.2027115606964065
p257,p257_011,0.0185917429625988,0.4160628616809845,0.31580668687820435,0.31741117268330316
p257,p257_012,-0.03783460333943367,0.4317376911640167,0.30265864729881287,0.3451524727675333
p257,p257_013,0.10788010060787201,0.41469475626945496,0.38051676750183105,0.43845792772054515
p257,p257_014,-0.012769784778356552,0.4603599011898041,0.32136669754981995,0.21644812537456376
p257,p257_015,-0.033997103571891785,0.4724908471107483,0.3345971703529358,0.40282336025834586
p257,p257_016,-0.038746897131204605,0.42257970571517944,0.3211544156074524,0.29888081269072014
p257,p257_017,-0.05042785406112671,0.3811572790145874,0.2082575112581253,0.11095439027468956
p257,p257_018,-0.029374942183494568,0.47427353262901306,0.26770317554473877,0.15025298991421238
p257,p257_019,0.003570232540369034,0.41874781250953674,0.27581995725631714,0.2067489031685178
p257,p257_020,0.03447868302464485,0.4090045988559723,0.29191556572914124,0.2988045567472544
p257,p257_021,0.030832065269351006,0.4273463487625122,0.34903573989868164,0.34249249583747005
p257,p257_022,-0.034978196024894714,0.46038171648979187,0.24429243803024292,0.21302132360991746
p257,p257_023,0.012939270585775375,0.4883350431919098,0.3131144344806671,0.3755817333464293
p257,p257_024,0.04789787530899048,0.4677795469760895,0.33101192116737366,0.34532589203057895
p257,p257_025,-0.008953951299190521,0.35364601016044617,0.16779574751853943,0.13744951468917616
p257,p257_026,0.07410028576850891,0.2607780396938324,0.23034878075122833,0.21085444598439168
p257,p257_027,0.030936673283576965,0.3866770267486572,0.25586891174316406,0.3208251040296326
p257,p257_028,-0.12526027858257294,0.41345420479774475,0.08287763595581055,0.06057931417976398
p257,p257_029,0.17839722335338593,0.5096403360366821,0.35479313135147095,0.26842727500143404
p257,p257_030,-0.03805600106716156,0.4061697721481323,0.2901303172111511,0.14108587510088655
p257,p257_031,0.10440582036972046,0.4525608718395233,0.23981720209121704,0.23513159437628095
p257,p257_032,0.07851920276880264,0.399063378572464,0.276095986366272,0.273590145036699
p257,p257_033,0.1870223432779312,0.39228275418281555,0.29659029841423035,0.23385934332608654
p257,p257_034,-0.06772919744253159,0.39806053042411804,0.19957582652568817,0.2022676602223123
p257,p257_035,0.08157641440629959,0.4548306465148926,0.3341325521469116,0.30690392479432094
p257,p257_036,0.12131783366203308,0.3979400396347046,0.24696142971515656,0.217759751010567
p257,p257_037,0.07171355187892914,0.4286944568157196,0.21990589797496796,0.07863129029013666
p257,p257_038,0.06874758005142212,0.41475945711135864,0.3059854507446289,0.34165863428035403
p257,p257_039,-0.02410166710615158,0.3890466094017029,0.24075263738632202,0.0687334846843391
p257,p257_040,0.04218338429927826,0.4854367673397064,0.27675288915634155,0.247720219155037
p257,p257_041,0.002138683572411537,0.4303240478038788,0.23003046214580536,0.22143739054849515
p257,p257_042,0.09793559461832047,0.46797797083854675,0.24279886484146118,0.1759222279065641
p257,p257_043,-0.0535232275724411,0.42164841294288635,0.13728216290473938,0.043554194659673334
p257,p257_044,0.12853175401687622,0.41969752311706543,0.2153850495815277,0.21796123693823086
p257,p257_045,0.08033659309148788,0.4331236481666565,0.20469306409358978,0.22287025820845158
p253,p253_001,0.042229801416397095,0.41210347414016724,0.3020511269569397,0.31877840216842834
p253,p253_002,0.05108807608485222,0.45227575302124023,0.3254473805427551,0.340922722288556
p253,p253_003,-0.022415287792682648,0.4310292601585388,0.28759631514549255,0.18257799942189368
p253,p253_004,-0.058287255465984344,0.36622974276542664,0.16733181476593018,0.11161792921994118
p253,p253_005,0.022488003596663475,0.503905177116394,0.3581356108188629,0.2162654139063944
p253,p253_007,-0.06291394680738449,0.4526398181915283,0.28756436705589294,0.16860271796595
p253,p253_008,-0.04612996056675911,0.43462300300598145,0.3370102345943451,0.3939315664782367
p253,p253_009,-0.008499909192323685,0.3758702576160431,0.2808781862258911,0.30560677683940507
p253,p253_010,-0.0070463623851537704,0.4299663305282593,0.28846099972724915,0.2942635206746599
p253,p253_011,0.032257601618766785,0.44215357303619385,0.3548515737056732,0.42975815339092666
p253,p253_012,0.013180803507566452,0.3898438513278961,0.33972615003585815,0.3745340133291786
p253,p253_013,0.022239521145820618,0.4364836812019348,0.3815487027168274,0.42982909306105166
p253,p253_014,-0.03163616359233856,0.4098297953605652,0.32052725553512573,0.3574329481016947
p253,p253_015,-0.04377584159374237,0.5144699811935425,0.36240383982658386,0.3253585125581824
p253,p253_016,-0.0022067679092288017,0.45065557956695557,0.3642173111438751,0.31809890486448505
p253,p253_017,-0.057226791977882385,0.4018511176109314,0.22056350111961365,0.04441957203259972
p253,p253_018,-0.001956585794687271,0.4380369484424591,0.3494727313518524,0.2094136519782533
p253,p253_020,-0.06861387193202972,0.41139650344848633,0.23755231499671936,0.09812536683675514
p253,p253_021,-0.004741511307656765,0.4246581196784973,0.3156745433807373,0.29965213382734124
p253,p253_023,-0.006747419945895672,0.46792811155319214,0.3822100758552551,0.4573430640450499
p253,p253_024,0.03138762712478638,0.47819995880126953,0.4669318199157715,0.42422398227907865
p253,p253_025,0.0174587219953537,0.34041786193847656,0.2616812586784363,0.3215082605385127
p253,p253_026,0.05983253940939903,0.3905153274536133,0.3215428292751312,0.32677642401010415
p253,p253_027,-0.06283032149076462,0.3794182538986206,0.19879814982414246,0.32062437696413315
p253,p253_028,-0.061704590916633606,0.3999248445034027,0.20445120334625244,0.23167184735259305
p253,p253_029,-0.10428544133901596,0.38517624139785767,0.15473458170890808,0.05267299301055013
p253,p253_030,0.116350919008255,0.43207603693008423,0.33362630009651184,0.3148736387630964
p253,p253_031,-0.005940388888120651,0.35196465253829956,0.20100536942481995,0.19562500292114043
p253,p253_032,-0.0930633544921875,0.309450626373291,0.07911232113838196,0.12919165741306546
p253,p253_033,0.008454028517007828,0.41481438279151917,0.19369719922542572,0.02081632000880746
p253,p253_034,-0.0527651384472847,0.3967662453651428,0.17850032448768616,0.07261346565241386
p253,p253_035,-0.024967920035123825,0.4587865471839905,0.34906017780303955,0.1686430768911637
p253,p253_036,-0.09614577889442444,0.40973663330078125,0.14660963416099548,0.12140229681288664
p253,p253_037,-0.1702750325202942,0.297722190618515,0.04227403923869133,-0.0043091339715683255
p253,p253_038,-0.0801851898431778,0.39736151695251465,0.20360153913497925,0.15139590440869236
p253,p253_039,0.0027454961091279984,0.34135499596595764,0.1516844630241394,0.12593535081354024
p253,p253_040,-0.01379084400832653,0.4497980773448944,0.26631641387939453,0.21423097008052158
p253,p253_041,-0.05698249489068985,0.37449002265930176,0.2145511656999588,0.19177067415627488
p253,p253_042,-0.009354684501886368,0.4154893159866333,0.29078784584999084,0.3267040055013111
p253,p253_043,-0.08455996960401535,0.3440217971801758,0.17763462662696838,0.027117662403199277
p253,p253_044,-0.06453511118888855,0.3319016993045807,0.1654740273952484,0.12097297995646951
p253,p253_045,0.13816523551940918,0.48129212856292725,0.3817422389984131,0.4083819804038496
p253,p253_046,-0.07528742402791977,0.37554988265037537,0.17994387447834015,0.03559761304250629
p253,p253_047,-0.10444340854883194,0.29327794909477234,0.13577616214752197,0.1316132667439353
p253,p253_048,-0.08619281649589539,0.36490243673324585,0.1881510317325592,0.06334521045663266
p340,p340_001,0.0916086882352829,0.30198585987091064,0.2362571507692337,0.26039862564829586
p340,p340_002,-0.09575299918651581,0.28458067774772644,0.09917066246271133,0.17601067073471657
p340,p340_003,0.06598678231239319,0.428343802690506,0.345596045255661,0.23396873051749134
p340,p340_004,0.10619896650314331,0.35685229301452637,0.32402849197387695,0.3210494828453331
p340,p340_005,-0.06371647864580154,0.3077911138534546,0.11853989213705063,0.05394347060788904
p340,p340_006,0.07651768624782562,0.41591617465019226,0.3266110420227051,0.3439927250678383
p340,p340_007,-3.7931837141513824e-05,0.39652761816978455,0.2560842037200928,0.23868765832086614
p340,p340_008,0.014192914590239525,0.47721678018569946,0.28346487879753113,0.2794652351810201
p340,p340_009,0.029675010591745377,0.4004877209663391,0.3420718014240265,0.4093713880405397
p340,p340_010,-8.926168084144592e-05,0.3740044832229614,0.21320001780986786,0.061265555928602895
p340,p340_011,-0.0373733714222908,0.35394924879074097,0.16898605227470398,0.13681324302194162
p340,p340_012,-0.040664639323949814,0.34347790479660034,0.1855786144733429,0.1305784833724085
p340,p340_013,0.021095285192131996,0.2941300868988037,0.20060878992080688,0.2517018721389027
p340,p340_014,0.05948842316865921,0.3542380928993225,0.25984659790992737,0.2579840163445575
p340,p340_015,-0.016916899010539055,0.3500623106956482,0.1681193858385086,0.16005507201761637
p340,p340_016,0.04426643252372742,0.37986135482788086,0.28108298778533936,0.24527702064930515
p340,p340_017,-0.034694138914346695,0.41537272930145264,0.171257883310318,0.1341809094567457
p340,p340_018,-0.03540307655930519,0.37030673027038574,0.22257167100906372,0.19432610201426317
