n_train_speakers,n_train_pairs,best_val_loss,test_cosine,train_time_sec
28,1260,0.7698783594019273,0.32233944852594976,124.76995158195496
14,630,0.8043925516745624,0.3182772577912719,70.6384687423706
7,315,0.8506603100720573,0.30406573254063174,43.2656147480011
3,135,0.8691252610262703,0.26640954782875875,27.59013605117798
