speaker_id,utterance_id,baseline_cosine,adapted_cosine,cosine_improvement
p257,p257_001,0.05744069442152977,0.3088306486606598,0.25138995423913
p257,p257_002,0.05393027514219284,0.46053236722946167,0.40660209208726883
p257,p257_003,0.06328926235437393,0.46551066637039185,0.4022214040160179
p257,p257_004,0.05139420926570892,0.4133147597312927,0.3619205504655838
p257,p257_005,0.11472122371196747,0.43503203988075256,0.3203108161687851
p257,p257_006,0.058942995965480804,0.40533339977264404,0.34639040380716324
p257,p257_007,0.1102813258767128,0.4670106768608093,0.3567293509840965
p257,p257_008,0.042342111468315125,0.46762269735336304,0.4252805858850479
p257,p257_009,0.051898181438446045,0.44732606410980225,0.3954278826713562
p257,p257_010,-0.039776526391506195,0.3583924472332001,0.39816897362470627
p257,p257_011,-0.025844672694802284,0.3713478147983551,0.3971924874931574
p257,p257_012,0.07967036217451096,0.4274536967277527,0.34778333455324173
p257,p257_013,0.08312976360321045,0.3697606325149536,0.28663086891174316
p257,p257_014,0.10664399713277817,0.45660558342933655,0.3499615862965584
p257,p257_015,0.051476478576660156,0.47026681900024414,0.418790340423584
p257,p257_016,-0.01169542409479618,0.4009087383747101,0.41260416246950626
p257,p257_017,0.018968109041452408,0.3845711648464203,0.3656030558049679
p257,p257_018,-0.053804680705070496,0.42705634236335754,0.48086102306842804
p257,p257_019,-0.015916630625724792,0.3805111050605774,0.3964277356863022
p257,p257_020,0.04758831858634949,0.3920373320579529,0.3444490134716034
p257,p257_021,0.07542186230421066,0.39999303221702576,0.3245711699128151
p257,p257_022,0.1166282668709755,0.4525302052497864,0.3359019383788109
p257,p257_023,0.0565890297293663,0.4477022886276245,0.3911132588982582
p257,p257_024,0.17197266221046448,0.4674769341945648,0.29550427198410034
p257,p257_025,0.09728218615055084,0.37700867652893066,0.2797264903783798
p257,p257_026,-0.020228317007422447,0.22018314898014069,0.24041146598756313
p257,p257_027,0.1048286035656929,0.38467922806739807,0.27985062450170517
p257,p257_028,0.11088450998067856,0.4777759611606598,0.36689145117998123
p257,p257_029,0.14278490841388702,0.4645388722419739,0.32175396382808685
p257,p257_030,0.11118511855602264,0.4191424548625946,0.30795733630657196
p257,p257_031,0.15087486803531647,0.4486468434333801,0.29777197539806366
p257,p257_032,0.01036820374429226,0.362909197807312,0.35254099406301975
p257,p257_033,0.2738092243671417,0.4092097282409668,0.13540050387382507
p257,p257_034,0.17997582256793976,0.458325058221817,0.27834923565387726
p257,p257_035,0.10299845039844513,0.4404408931732178,0.33744244277477264
p257,p257_036,0.24701684713363647,0.43122440576553345,0.18420755863189697
p257,p257_037,0.10182169079780579,0.4400310218334198,0.338209331035614
p257,p257_038,0.13683782517910004,0.40418577194213867,0.26734794676303864
p257,p257_039,0.07845791429281235,0.399131178855896,0.32067326456308365
p257,p257_040,0.07077576220035553,0.4640273451805115,0.39325158298015594
p257,p257_041,0.16070103645324707,0.4658581018447876,0.3051570653915405
p257,p257_042,0.18254534900188446,0.4653080701828003,0.28276272118091583
p257,p257_043,0.02966451644897461,0.45245224237442017,0.42278772592544556
p257,p257_044,0.13673169910907745,0.4063696563243866,0.26963795721530914
p257,p257_045,0.021168295294046402,0.3976179361343384,0.376449640840292
p253,p253_001,0.10520382225513458,0.421022891998291,0.31581906974315643
p253,p253_002,0.050257280468940735,0.42226099967956543,0.3720037192106247
p253,p253_003,0.13408927619457245,0.4400477111339569,0.30595843493938446
p253,p253_004,-0.011851230636239052,0.35146865248680115,0.3633198831230402
p253,p253_005,0.09758395701646805,0.474106103181839,0.37652214616537094
p253,p253_007,0.08402101695537567,0.4644356071949005,0.38041459023952484
p253,p253_008,-0.00487852469086647,0.41621243953704834,0.4210909642279148
p253,p253_009,0.0714651495218277,0.38309645652770996,0.31163130700588226
p253,p253_010,0.06623641401529312,0.43942803144454956,0.37319161742925644
p253,p253_011,-0.035338208079338074,0.3851810693740845,0.42051927745342255
p253,p253_012,0.029384765774011612,0.35788899660110474,0.3285042308270931
p253,p253_013,-0.005699165165424347,0.3965771198272705,0.40227628499269485
p253,p253_014,-0.060914989560842514,0.36306992173194885,0.42398491129279137
p253,p253_015,-0.03613457456231117,0.4953090250492096,0.5314435996115208
p253,p253_016,-0.041538335382938385,0.40151867270469666,0.44305700808763504
